SAMPLE	C0	C1	C2
X2202ed712481940f934cfb5812b743f3	4987.71750220896	2479.18221936175	2798.09209884538
X1bdeccb61df1623412271e05874b0094	2038.66881394659	6307.07427840368	1166.1869358984
Xfb9f7ca2d7daad69473b1192db1d7c30	2611.59247691173	4195.20334225142	3091.77408878235
X0d5f6c7702aa2126719f1449869cb871	5573.49985041951	4068.55542735501	359.768643951965
X7633ae66d8c814f618ccf6a136fcb5d5	2636.86866100577	4355.81030500259	2878.37006440353
Xe8e5271bc8c846a413d8a8738f7305c5	1424.97411848416	5160.72319522046	3110.8160845367
Xedf05e441e14f691663cd2d1807276b4	4782.36504473318	1813.51616129127	3780.42500428576
X54d26518c4a4300bbefa41c5a25040ec	2472.79650055456	3398.96863824444	4162.87510431797
Xf248a96e9f28c80844e8c27fc86d3e4d	3559.69975348794	4637.08018343602	1650.10040056808
X942564e2e36dccdd3abc6e3da165c8c6	2257.79597516063	5129.12939497593	2337.91515751846
Xb062ce653c73b5ff8a3ed1b0f3534651	4673.82285433084	2840.6194852182	2678.47461368558
X62b6c7739d9d7e6d52985b4c46c4d00a	6505.56074243066	407.329726313588	3757.55480662581
Xd25d93b78bd1e0867aad1aab4ff01342	2942.26413671017	6064.1293592791	572.925165398045
X8e1ad2854c3bea90f66eef338b4f813f	3427.53097562889	3205.25278009396	3461.99619517249
X287b3d4433b74e09d38721f8c403f553	1858.57015958335	3968.79090891656	4090.38549728161
X2120e95574229d89ab8e6890708ae502	5410.25466465348	891.345378206518	4253.86696659243
Xd96588b7afb60fd88370d1f48bc427aa	3240.99575027282	4262.60215690985	2400.34669302853
